Video,Frame,Questions,Human,LogicRAG
0,000060-000069,Can you spot a pedestrian at the right in the last few frames?,1,1
0,000060-000069,Is there a White Car on the right of the frame?,1,1
0,000060-000069,Does the distance between the pedestrian and the White Car remain constant?,1,1
0,000060-000069,Is there a Black Car on the left the scene?,1,1
0,000060-000069,Does the Black Car disappear from the scene?,1,1
0,000060-000069,Is there a Black Car on the left of the scene?,1,1
0,000060-000069,Is there a White Car on the left of the scene?,1,1
0,000180-000189,Is there a Black Car on the left of the scene?,1,1
0,000180-000189,Is the Black Car stopped?,1,1
0,000180-000189,Can you spot a Black Car on the left that disappears from the scene?,1,1
0,000180-000189,Is there a Black Car on the right?,1,1
0,000180-000189,Does the distance between the Black Car on the left and the Black Car on the right remain the same?,1,1
0,000450-000459,Is there a Black Car near the left that disappears from the scene?,1,1
0,000450-000459,Can you spot a trafficsign near the left?,1,1
0,000450-000459,Can you spot a pole in the front that shifts to the right at the  last few frames?,1,1
0,000450-000459,Can you spot a White Car near the right?,1,1
0,000450-000459,Can you spot a Black Car in the front?,1,1
0,000450-000459,Does the distance between the White Car on the right and the Black Car in the front remain the same?,1,1
0,000450-000459,Is the White Car on the right stopped?,1,1
1,000000-000009,Is there a Black Car in the front in the initial frames that moves to the right?,1,1
1,000000-000009,Does the Black Car move at a constant speed?,1,1
1,000000-000009,Can you spot a White Car on the left of the scene?,1,1
1,000000-000009,Does the White Car on the left move at a constant speed?,1,1
1,000000-000009,Does the distance between the Black Car and the White Car remain the same?,1,1
1,000000-000009,Can you spot a trafficsign near the left?,1,1
1,000000-000009,Can you spot a trafficlight near the left?,1,1
1,000000-000009,Can you spot a pedestrian on the left?,1,1
1,000010-000019,Can you spot a Black Car on the right of the scene?,1,1
1,000010-000019,Does the Black Car disappear from the right of the scene?,1,1
1,000010-000019,Does a White Car appear on the left of the scene?,1,1
1,000010-000019,Does the White Car move at a constant speed?,1,1
1,000020-000029,Is there a White Car on the left?,1,1
1,000020-000029,Does a Black Car appear from the left?,1,1
1,000020-000029,Does a Red Car appear from the left?,1,1
1,000020-000029,Does the distance between the White Car and the Red Car increase?,1,1
1,000020-000029,Does the distance between the White Car and the Red Car decrease?,0,1
2,000000-000009,Can you spot a Gray Car near the left?,1,1
2,000000-000009,Can you spot a Black Car on the left?,1,1
2,000000-000009,Can you spot a Black Car at the front?,1,1
2,000000-000009,Does the Gray Car on the left disappear from the scene?,1,1
2,000000-000009,Does the distance between Gray Car on the left and the Black Car in the front increase?,1,1
2,000000-000009,Can you spot a building in the front?,1,1
2,000000-000009,Can you spot a trafficsign in the front that shifts to the right in the later frames due to the camera movement?,1,1
2,000010-000019,Can you spot persons on the left of the scene?,1,1
2,000010-000019,Are there vehicles on the right of the scene?,1,1
