Question,FOL Query
Can you spot a pedestrian at the right in the last few frames?,"Pedestrian(x)^LastLocation(x, Right)^Move(x)"
Is there a White Car on the right of the frame?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Right)"
Does the distance between the pedestrian and the White Car remain constant?,"TypeOf(x, Car)^ColorOf(x, White)^Pedestrian(y)^ConstantDistance(x, y)"
Is there a Black Car on the left the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^LastLocation(x, Left)"
Does the Black Car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^Disappear(x)"
Is there a Black Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Is there a White Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)"
Is there a Black Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Is the Black Car stopped?,"TypeOf(x, Car)^ColorOf(x, Black)^Stopped(x)"
Can you spot a Black Car on the left that disappears from the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^Disappear(x)"
Is there a Black Car on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Does the distance between the Black Car on the left and the Black Car on the right remain the same?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, Right)^ConstantDistance(x, y)"
Is there a Black Car near the left that disappears from the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^Disappear(x)"
Can you spot a trafficsign near the left?,"TrafficSign(x)^InitialLocation(x, NearLeft)"
Can you spot a pole in the front that shifts to the right at the  last few frames?,"Pole(x)^InitialLocation(x, Front)^LastLocation(x, Right)"
Can you spot a White Car near the right?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearRight)"
Can you spot a Black Car in the front?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Front)"
Does the distance between the White Car on the right and the Black Car in the front remain the same?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Right)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, Front)^ConstantDistance(x, y)"
Is the White Car on the right stopped?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Right)^Stopped(x)"
Is there a Black Car in the front in the initial frames that moves to the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Front)^Move(x)^LastLocation(x, Right)"
Does the Black Car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, Black)^Vehicles(x)^ConstantSpeed(x)"
